"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010043","response to zinc ion","8/263","53/18860",0.150943396226415,10.8243059042973,8.51717966113555,6.62272247430923e-07,3.60888951547806e-05,2.69174910306959e-05,"5026/1396/4501/6279/4494/4493/4496/4495",8
"GO:0045619","regulation of lymphocyte differentiation","15/263","227/18860",0.066079295154185,4.73861409356627,6.73903845187542,7.38140222528712e-07,3.96316169478283e-05,2.95598878588511e-05,"5788/914/56833/6935/6850/399/939/604/10538/942/677/22890/3559/3398/9760",15
"GO:0002548","monocyte chemotaxis","8/263","54/18860",0.148148148148148,10.6238557949585,8.42196689272249,7.68149465031959e-07,4.06451260410388e-05,3.03158301455023e-05,"6352/199/56833/1843/3627/5800/7941/4067",8
"GO:1902107","positive regulation of leukocyte differentiation","14/263","199/18860",0.0703517587939698,5.04499684735464,6.8217064684538,8.23071827954159e-07,4.18244851427674e-05,3.11954743658808e-05,"5788/6850/399/939/604/942/677/4739/22890/2124/3559/3398/7305/9760",14
"GO:1903708","positive regulation of hemopoiesis","14/263","199/18860",0.0703517587939698,5.04499684735464,6.8217064684538,8.23071827954159e-07,4.18244851427674e-05,3.11954743658808e-05,"5788/6850/399/939/604/942/677/4739/22890/2124/3559/3398/7305/9760",14
"GO:0045926","negative regulation of growth","15/263","229/18860",0.0655021834061135,4.69722881763993,6.69409307714117,8.24804965839291e-07,4.18244851427674e-05,3.11954743658808e-05,"53335/604/1026/55840/4501/5728/4494/4493/4496/8835/51379/672/4495/9686/694",15
"GO:0061900","glial cell activation","8/263","56/18860",0.142857142857143,10.2444323737099,8.23881784500495,1.02377791170077e-06,5.06265981791419e-05,3.77606739291153e-05,"5788/3725/199/8530/3684/712/1075/7305",8
"GO:0002685","regulation of leukocyte migration","15/263","233/18860",0.0643776824034335,4.61658969630705,6.60574040860739,1.02612113537565e-06,5.06265981791419e-05,3.77606739291153e-05,"10563/6352/199/11151/56833/1843/3627/7422/7070/1236/2833/4739/29108/7941/4067",15
"GO:1990868","response to chemokine","10/263","98/18860",0.102040816326531,7.3174516955071,7.4564337048673,1.11766277589902e-06,5.36919315106228e-05,4.00470027874069e-05,"10563/6362/6352/4283/1843/3627/1236/2833/7852/4067",10
"GO:1990869","cellular response to chemokine","10/263","98/18860",0.102040816326531,7.3174516955071,7.4564337048673,1.11766277589902e-06,5.36919315106228e-05,4.00470027874069e-05,"10563/6362/6352/4283/1843/3627/1236/2833/7852/4067",10
"GO:0030099","myeloid cell differentiation","22/263","481/18860",0.0457380457380457,3.27992221528343,6.02347883367532,1.16812425308316e-06,5.45969783124305e-05,4.07220467050866e-05,"3725/5026/6772/604/7422/10538/1236/4318/677/4739/2124/9770/4792/3398/4495/3148/7305/3930/9636/4208/3394/4067",22
"GO:0046688","response to copper ion","7/263","40/18860",0.175,12.5494296577947,8.6955385181296,1.19138674198527e-06,5.45969783124305e-05,4.07220467050866e-05,"983/4501/4494/4493/4017/4496/4495",7
"GO:0050858","negative regulation of antigen receptor-mediated signaling pathway","7/263","40/18860",0.175,12.5494296577947,8.6955385181296,1.19138674198527e-06,5.45969783124305e-05,4.07220467050866e-05,"2633/971/7070/1445/9404/7805/4067",7
"GO:0097193","intrinsic apoptotic signaling pathway","18/263","335/18860",0.0537313432835821,3.85312978832075,6.26585848732503,1.19631834154874e-06,5.45969783124305e-05,4.07220467050866e-05,"489/1396/1026/472/54541/8870/8531/9774/5527/6279/8428/4318/664/8795/672/7805/29108/54431",18
"GO:0071675","regulation of mononuclear cell migration","12/263","150/18860",0.08,5.73688212927757,6.92655158253434,1.32056605057414e-06,5.95232919832862e-05,4.43964181005237e-05,"10563/6352/199/11151/56833/1843/3627/1236/4739/29108/7941/4067",12
"GO:0002437","inflammatory response to antigenic stimulus","9/263","79/18860",0.113924050632911,8.16961062713577,7.59391127329758,1.52780719263509e-06,6.80246836623259e-05,5.07373197348778e-05,"26279/6850/2210/923/1236/2268/3559/3148/4067",9
"GO:0002688","regulation of leukocyte chemotaxis","11/263","126/18860",0.0873015873015873,6.26048645060052,7.04549773962426,1.55353278135081e-06,6.83367251170099e-05,5.09700609429874e-05,"10563/6352/199/56833/1843/3627/7422/1236/4739/7941/4067",11
"GO:1901988","negative regulation of cell cycle phase transition","16/263","274/18860",0.0583941605839416,4.18750520385224,6.32046420967769,1.62063684469283e-06,7.04398228568276e-05,5.25386906919843e-05,"10403/1843/1026/983/472/8870/5728/677/7465/51379/672/1063/5884/4085/988/4067",16
"GO:0045930","negative regulation of mitotic cell cycle","15/263","244/18860",0.0614754098360656,4.40846475098174,6.37274137773016,1.82688823720423e-06,7.77872192303927e-05,5.80188661070582e-05,"10403/1843/604/1026/983/472/8870/5728/677/7465/51379/672/1063/5884/4085",15
"GO:0051250","negative regulation of lymphocyte activation","13/263","183/18860",0.0710382513661202,5.09422593446778,6.61849963728936,1.83229275645406e-06,7.77872192303927e-05,5.80188661070582e-05,"26279/604/1445/472/942/55024/2268/7805/3559/3398/7305/57162/4067",13
"GO:0050920","regulation of chemotaxis","14/263","214/18860",0.0654205607476635,4.69137557300736,6.45829739455162,1.95549653078829e-06,8.0221178484894e-05,5.98342743128547e-05,"10563/6352/199/56833/1843/3627/7422/1236/2833/5800/4739/51571/7941/4067",14
"GO:0010273","detoxification of copper ion","5/263","16/18860",0.3125,22.4096958174905,10.1882524949459,1.95554228571777e-06,8.0221178484894e-05,5.98342743128547e-05,"4501/4494/4493/4496/4495",5
"GO:1990169","stress response to copper ion","5/263","16/18860",0.3125,22.4096958174905,10.1882524949459,1.95554228571777e-06,8.0221178484894e-05,5.98342743128547e-05,"4501/4494/4493/4496/4495",5
"GO:0002697","regulation of immune effector process","20/263","421/18860",0.0475059382422803,3.40669960170877,5.93895467478486,2.04792251330942e-06,8.30773899565855e-05,6.19646262214207e-05,"51237/653361/5788/56833/6850/604/163486/64581/10538/942/3684/22890/2268/7805/9188/29108/7305/5336/51571/4067",20
"GO:0044772","mitotic cell cycle phase transition","21/263","461/18860",0.0455531453362256,3.2666628176472,5.85943893384261,2.1973077577884e-06,8.81579189415982e-05,6.57540216240437e-05,"199/10403/6241/1843/1026/983/472/8870/5728/9787/677/7465/51379/672/5721/1063/605/3398/5884/4085/901",21
"GO:0010038","response to metal ion","18/263","351/18860",0.0512820512820513,3.6774885444087,6.02151067860603,2.32062295979181e-06,9.16706014074089e-05,6.83740131300629e-05,"3725/5026/1843/1396/983/4501/6279/4494/4493/664/4017/4496/1894/3398/4495/5336/6505/4208",18
"GO:2000403","positive regulation of lymphocyte migration","7/263","44/18860",0.159090909090909,11.408572416177,8.21995827629738,2.33507694628568e-06,9.16706014074089e-05,6.83740131300629e-05,"10563/6352/199/11151/3627/4739/29108",7
"GO:0010948","negative regulation of cell cycle process","17/263","318/18860",0.0534591194968553,3.83360834110529,6.06025436214245,2.55093449552029e-06,9.90793813100486e-05,7.38999724514108e-05,"10403/1843/604/1026/983/472/8870/5728/677/7465/51379/672/1063/5884/4085/988/4067",17
"GO:0001771","immunological synapse formation","5/263","17/18860",0.294117647058824,21.0914784164616,9.85546433725667,2.73886198678626e-06,0.000105258790671123,7.85089857043332e-05,"923/5551/1236/1794/4739",5
"GO:0031640","killing of cells of another organism","11/263","135/18860",0.0814814814814815,5.84312068722715,6.71578867104113,3.0644773752404e-06,0.000115344401000028,8.60315026559622e-05,"10563/6362/653361/3002/4283/2999/3627/2633/4069/5551/3001",11
"GO:0141061","disruption of cell in another organism","11/263","135/18860",0.0814814814814815,5.84312068722715,6.71578867104113,3.0644773752404e-06,0.000115344401000028,8.60315026559622e-05,"10563/6362/653361/3002/4283/2999/3627/2633/4069/5551/3001",11
