"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206781_at",0.0965419543163469,6.97778865190454,0.312366410005751,0.757758357909991,0.8959541382311,-6.99389531262602
"201758_at",0.0403905793450738,8.61527631520289,0.312301655684299,0.757806894427261,0.8959541382311,-6.99391622120838
"207679_at",-0.121362351826015,2.00074438526797,-0.312220161900216,0.757867979439912,0.8959541382311,-6.99394252870645
"222215_at",0.120808433665255,4.43894017782853,0.312210064343095,0.75787554834346,0.8959541382311,-6.99394578788581
"220661_s_at",0.0414791771710746,6.93750663219194,0.312208683985679,0.757876583030516,0.8959541382311,-6.99394623341441
"202653_s_at",0.0600156794518441,7.53526907279179,0.312153610053766,0.757917865677189,0.8959541382311,-6.9939640076611
"203640_at",0.0745891765223273,7.94614825770508,0.312109456404469,0.757950963167139,0.8959541382311,-6.99397825531387
"215670_s_at",-0.144809694769297,3.91447338843005,-0.312096875316701,0.757960394013125,0.8959541382311,-6.99398231465731
"216675_at",-0.0983185051560874,3.42511409543066,-0.31200010526288,0.758032934616148,0.895992355296607,-6.99401353252149
"216505_x_at",0.0653116152559786,8.59260564733481,0.311858637464833,0.758138985571249,0.896026082765787,-6.99405915254254
"218107_at",0.0465968871528838,8.95275571796719,0.311854761391006,0.758141891328194,0.896026082765787,-6.99406040219616
"202507_s_at",-0.0659361944026985,6.4169360991789,-0.311758081079158,0.758214370359255,0.896064217168671,-6.99409156713377
